word,n,is_phrase_member,category
tien,17,FALSE,
ton,17,TRUE,
wangs,17,FALSE,
xi’an,17,FALSE,
beach,16,FALSE,
chau,16,FALSE,
chee,16,TRUE,
chiu,16,FALSE,
den,16,FALSE,
dollar,16,FALSE,
kenny,16,FALSE,names
koi,16,TRUE,
love,16,FALSE,
nam,16,FALSE,
ramen,16,FALSE,
treasure,16,FALSE,symbols
andy,15,FALSE,names
bite,15,FALSE,
catering,15,FALSE,
delights,15,FALSE,
feast,15,TRUE,
guan,15,FALSE,
joyful,15,FALSE,symbols
lamb,15,TRUE,
lau,15,FALSE,names
louie,15,FALSE,names
mao,15,FALSE,
pong,15,FALSE,
snacks,15,FALSE,
timmy,15,TRUE,names
woks,15,FALSE,
zhu,15,FALSE,
association,14,FALSE,
boat,14,FALSE,
bros,14,FALSE,names
cat,14,FALSE,
crab,14,FALSE,
dao,14,FALSE,
don,14,FALSE,
drive,14,FALSE,
forbidden,14,TRUE,places|symbols
gao,14,FALSE,
genghis,14,TRUE,symbols
girl,14,FALSE,
hon,14,FALSE,
honey,14,FALSE,
hoy,14,FALSE,
hunans,14,FALSE,
impression,14,FALSE,
jackie,14,FALSE,names
lanzhou,14,TRUE,
lite,14,FALSE,
outee,14,TRUE,
shin,14,FALSE,
shui,14,FALSE,
steam,14,FALSE,
stone,14,FALSE,
terrace,14,FALSE,
united,14,FALSE,
wild,14,FALSE,
xia,14,FALSE,
zhong,14,FALSE,
zone,14,FALSE,
bin,13,FALSE,
boba,13,FALSE,
company,13,FALSE,
downtown,13,FALSE,
flying,13,FALSE,
george,13,FALSE,names
grove,13,TRUE,
horse,13,TRUE,
jerry,13,FALSE,names
johnny,13,FALSE,
jun,13,FALSE,
lian,13,FALSE,
lim,13,FALSE,
lum,13,FALSE,
meets,13,TRUE,
mexican,13,FALSE,
mian,13,FALSE,
pop,13,FALSE,
quan,13,FALSE,
sang,13,FALSE,
special,13,FALSE,
spices,13,FALSE,
stop,13,FALSE,
taco,13,FALSE,
talk,13,FALSE,
tam,13,FALSE,
truck,13,FALSE,
tso,13,TRUE,
yangtze,13,FALSE,places
2000,12,FALSE,
bear,12,TRUE,
boston,12,FALSE,
bridge,12,FALSE,
casa,12,FALSE,
chongqing,12,FALSE,places
daily,12,FALSE,
david,12,FALSE,names
eats,12,FALSE,
fai,12,FALSE,
fair,12,FALSE,
fook,12,FALSE,
friendship,12,TRUE,
gai,12,FALSE,
gee,12,FALSE,
healthy,12,FALSE,
hoa,12,FALSE,
jacky,12,FALSE,
jen,12,FALSE,
lulu,12,FALSE,names
mission,12,FALSE,
mister,12,FALSE,names
osaka,12,FALSE,
peach,12,FALSE,
peacock,12,FALSE,
qin,12,FALSE,
real,12,FALSE,
rickshaw,12,FALSE,symbols
sen,12,FALSE,
steak,12,FALSE,
sunflower,12,FALSE,
temple,12,FALSE,symbols
tommy,12,FALSE,
traditional,12,FALSE,
unique,12,FALSE,
white,12,FALSE,
zhen,12,FALSE,
